year,state_name,total_agencies,participating_agencies,participation_pct,nibrs_participating_agencies,nibrs_participation_pct,covered_agencies,covered_pct,total_population,nibrs_participating_population
1983,New Hampshire,229,217,94.76,110,48.03,110,48.03,1096524,1082940
1983,New Jersey,604,516,85.43,3,0.50,3,0.50,7471424,7464558
1983,New Mexico,111,60,54.05,2,1.80,6,5.41,1404645,1065588
1983,New York,1007,726,72.10,57,5.66,97,9.63,18873093,14877965
1983,North Carolina,680,362,53.24,3,0.44,4,0.59,6087858,5785566
1983,North Dakota,83,77,92.77,4,4.82,4,4.82,685104,670879
1983,Ohio,579,453,78.24,42,7.25,52,8.98,10971041,9792880
1983,Oklahoma,330,304,92.12,29,8.79,30,9.09,3327862,3264059
1983,Oregon,276,244,88.41,8,2.90,9,3.26,2668934,2633355
1983,Pennsylvania,1338,1187,88.71,102,7.62,108,8.07,12106312,11824294
1983,Puerto Rico,1,0,0.00,0,0.00,0,0.00,0,0
1983,Rhode Island,53,45,84.91,2,3.77,2,3.77,959553,959553
1983,South Carolina,311,224,72.03,44,14.15,44,14.15,3318478,3266327
1983,South Dakota,98,48,48.98,3,3.06,9,9.18,712748,472456
1983,Tennessee,289,197,68.17,3,1.04,4,1.38,4698522,3984815
1983,Texas,809,804,99.38,45,5.56,45,5.56,15917022,15893471
1983,Utah,127,113,88.98,9,7.09,9,7.09,1648138,1609664
1983,Vermont,49,16,32.65,10,20.41,11,22.45,528856,238771
1983,Virginia,413,399,96.61,3,0.73,3,0.73,5552833,5492926
1983,Washington,203,162,79.80,4,1.97,4,1.97,4308192,4199698
1983,West Virginia,369,269,72.90,3,0.81,7,1.90,1968542,1530374
1983,Wisconsin,286,241,84.27,10,3.50,12,4.20,4782685,4455900
1983,Wyoming,75,72,96.00,0,0.00,0,0.00,514000,510537
1982,Alabama,388,310,79.90,76,19.59,86,22.16,4007808,3693903
1982,Alaska,28,20,71.43,1,3.57,1,3.57,480391,466183
1982,Arizona,95,88,92.63,3,3.16,3,3.16,2872286,2814633
1982,Arkansas,217,191,88.02,12,5.53,13,5.99,2309406,2139826
1982,California,685,666,97.23,26,3.80,26,3.80,24902595,24885422
1982,Canal Zone,1,0,0.00,0,0.00,0,0.00,44650,0
1982,Colorado,251,170,67.73,3,1.20,5,1.99,3063569,2946922
1982,Connecticut,114,102,89.47,6,5.26,8,7.02,3230948,2718433
1982,Delaware,59,57,96.61,6,10.17,6,10.17,603669,603147
1982,District of Columbia,3,2,66.67,0,0.00,0,0.00,631000,631000
1982,Florida,720,714,99.17,34,4.72,34,4.72,10542211,10542211
1982,Georgia,532,243,45.68,4,0.75,5,0.94,5670797,4621534
1982,Guam,1,0,0.00,0,0.00,0,0.00,86926,0
1982,Hawaii,14,14,100.00,9,64.29,9,64.29,1041835,1041835
1982,Idaho,113,107,94.69,12,10.62,12,10.62,987754,956563
1982,Illinois,784,603,76.91,87,11.10,97,12.37,11553548,10803342
1982,Indiana,340,249,73.24,2,0.59,5,1.47,5484374,4259444
1982,Iowa,229,65,28.38,1,0.44,7,3.06,2917664,1099902
1982,Kansas,264,253,95.83,18,6.82,18,6.82,2442269,2428106
1982,Kentucky,489,301,61.55,7,1.43,12,2.45,3678626,2361378
1982,Louisiana,183,112,61.20,5,2.73,8,4.37,4379987,3581895
1982,Maine,138,135,97.83,6,4.35,6,4.35,1144555,1140631
1982,Maryland,176,172,97.73,15,8.52,15,8.52,4343762,4343762
1982,Massachusetts,415,253,60.96,0,0.00,4,0.96,5786183,4925733
1982,Michigan,755,275,36.42,41,5.43,85,11.26,9272139,5352885
1982,Minnesota,292,292,100.00,7,2.40,7,2.40,4147125,4147125
1982,Mississippi,211,85,40.28,0,0.00,0,0.00,2551000,1301891
1982,Missouri,305,218,71.48,11,3.61,19,6.23,5034639,4192572
1982,Montana,106,8,7.55,0,0.00,8,7.55,870804,174926
1982,Nebraska,226,150,66.37,41,18.14,61,26.99,1661688,1436957
1982,Nevada,34,24,70.59,1,2.94,2,5.88,886170,810909
1982,New Hampshire,228,104,45.61,0,0.00,87,38.16,1062106,794271
1982,New Jersey,602,514,85.38,3,0.50,3,0.50,7441411,7420510
1982,New Mexico,111,52,46.85,1,0.90,5,4.50,1362303,971213
1982,New York,992,830,83.67,91,9.17,97,9.78,18864583,17151735
1982,North Carolina,679,381,56.11,3,0.44,3,0.44,6024181,5767198
1982,North Dakota,83,79,95.18,4,4.82,4,4.82,675030,667491
1982,Ohio,574,437,76.13,40,6.97,54,9.41,11035040,9232978
1982,Oklahoma,330,299,90.61,27,8.18,28,8.48,3204221,3132253
1982,Oregon,273,253,92.67,9,3.30,9,3.30,2655904,2637945
1982,Pennsylvania,1323,1175,88.81,107,8.09,112,8.47,12090006,11747727
1982,Puerto Rico,1,0,0.00,0,0.00,0,0.00,3045000,0
1982,Rhode Island,53,45,84.91,2,3.77,2,3.77,962568,962568
1982,South Carolina,310,225,72.58,47,15.16,47,15.16,3260946,3225050
1982,South Dakota,98,43,43.88,1,1.02,9,9.18,703588,416346
1982,Tennessee,289,191,66.09,2,0.69,3,1.04,4662895,3849553
1982,Texas,796,780,97.99,38,4.77,38,4.77,15451085,15417831
1982,Utah,123,102,82.93,9,7.32,9,7.32,1581972,1510899
1982,Vermont,47,15,31.91,10,21.28,11,23.40,519791,222691
1982,Virginia,411,400,97.32,3,0.73,3,0.73,5493803,5492394
1982,Washington,199,149,74.87,6,3.02,6,3.02,4258819,3740484
1982,West Virginia,369,313,84.82,8,2.17,8,2.17,1951516,1793167
1982,Wisconsin,286,244,85.31,12,4.20,13,4.55,4799408,4393516
1982,Wyoming,72,60,83.33,0,0.00,0,0.00,502000,471696
1981,Alabama,388,272,70.10,36,9.28,42,10.82,3947449,3619244
1981,Alaska,28,20,71.43,1,3.57,1,3.57,451875,313515
1981,Arizona,95,94,98.95,3,3.16,3,3.16,2804998,2799552
1981,Arkansas,215,177,82.33,9,4.19,11,5.12,2309660,2048654
1981,California,654,611,93.43,21,3.21,21,3.21,24273613,24204666
1981,Canal Zone,1,0,0.00,0,0.00,0,0.00,44650,0
1981,Colorado,247,164,66.40,4,1.62,5,2.02,2981143,2737108
